record_type,algorithm,step,event,row,col,parent_row,parent_col,g,f,frontier_size,maze_rows,maze_cols,cell_value,start_row,start_col,end_row,end_col
META,DFS,,,,,,,,,,10,15,,0,13,8,4
CELL,DFS,,,0,0,,,,,,,,.,,,,
CELL,DFS,,,0,1,,,,,,,,X,,,,
CELL,DFS,,,0,2,,,,,,,,.,,,,
CELL,DFS,,,0,3,,,,,,,,X,,,,
CELL,DFS,,,0,4,,,,,,,,X,,,,
CELL,DFS,,,0,5,,,,,,,,.,,,,
CELL,DFS,,,0,6,,,,,,,,.,,,,
CELL,DFS,,,0,7,,,,,,,,.,,,,
CELL,DFS,,,0,8,,,,,,,,.,,,,
CELL,DFS,,,0,9,,,,,,,,.,,,,
CELL,DFS,,,0,10,,,,,,,,.,,,,
CELL,DFS,,,0,11,,,,,,,,X,,,,
CELL,DFS,,,0,12,,,,,,,,.,,,,
CELL,DFS,,,0,13,,,,,,,,A,,,,
CELL,DFS,,,0,14,,,,,,,,.,,,,
CELL,DFS,,,1,0,,,,,,,,.,,,,
CELL,DFS,,,1,1,,,,,,,,.,,,,
CELL,DFS,,,1,2,,,,,,,,X,,,,
CELL,DFS,,,1,3,,,,,,,,.,,,,
CELL,DFS,,,1,4,,,,,,,,.,,,,
CELL,DFS,,,1,5,,,,,,,,.,,,,
CELL,DFS,,,1,6,,,,,,,,.,,,,
CELL,DFS,,,1,7,,,,,,,,.,,,,
CELL,DFS,,,1,8,,,,,,,,.,,,,
CELL,DFS,,,1,9,,,,,,,,X,,,,
CELL,DFS,,,1,10,,,,,,,,.,,,,
CELL,DFS,,,1,11,,,,,,,,.,,,,
CELL,DFS,,,1,12,,,,,,,,.,,,,
CELL,DFS,,,1,13,,,,,,,,.,,,,
CELL,DFS,,,1,14,,,,,,,,.,,,,
CELL,DFS,,,2,0,,,,,,,,.,,,,
CELL,DFS,,,2,1,,,,,,,,.,,,,
CELL,DFS,,,2,2,,,,,,,,.,,,,
CELL,DFS,,,2,3,,,,,,,,X,,,,
CELL,DFS,,,2,4,,,,,,,,X,,,,
CELL,DFS,,,2,5,,,,,,,,X,,,,
CELL,DFS,,,2,6,,,,,,,,.,,,,
CELL,DFS,,,2,7,,,,,,,,X,,,,
CELL,DFS,,,2,8,,,,,,,,.,,,,
CELL,DFS,,,2,9,,,,,,,,.,,,,
CELL,DFS,,,2,10,,,,,,,,.,,,,
CELL,DFS,,,2,11,,,,,,,,.,,,,
CELL,DFS,,,2,12,,,,,,,,X,,,,
CELL,DFS,,,2,13,,,,,,,,X,,,,
CELL,DFS,,,2,14,,,,,,,,X,,,,
CELL,DFS,,,3,0,,,,,,,,X,,,,
CELL,DFS,,,3,1,,,,,,,,.,,,,
CELL,DFS,,,3,2,,,,,,,,.,,,,
CELL,DFS,,,3,3,,,,,,,,.,,,,
CELL,DFS,,,3,4,,,,,,,,.,,,,
CELL,DFS,,,3,5,,,,,,,,X,,,,
CELL,DFS,,,3,6,,,,,,,,.,,,,
CELL,DFS,,,3,7,,,,,,,,.,,,,
CELL,DFS,,,3,8,,,,,,,,X,,,,
CELL,DFS,,,3,9,,,,,,,,X,,,,
CELL,DFS,,,3,10,,,,,,,,.,,,,
CELL,DFS,,,3,11,,,,,,,,.,,,,
CELL,DFS,,,3,12,,,,,,,,.,,,,
CELL,DFS,,,3,13,,,,,,,,X,,,,
CELL,DFS,,,3,14,,,,,,,,X,,,,
CELL,DFS,,,4,0,,,,,,,,.,,,,
CELL,DFS,,,4,1,,,,,,,,X,,,,
CELL,DFS,,,4,2,,,,,,,,X,,,,
CELL,DFS,,,4,3,,,,,,,,.,,,,
CELL,DFS,,,4,4,,,,,,,,.,,,,
CELL,DFS,,,4,5,,,,,,,,.,,,,
CELL,DFS,,,4,6,,,,,,,,.,,,,
CELL,DFS,,,4,7,,,,,,,,.,,,,
CELL,DFS,,,4,8,,,,,,,,X,,,,
CELL,DFS,,,4,9,,,,,,,,.,,,,
CELL,DFS,,,4,10,,,,,,,,.,,,,
CELL,DFS,,,4,11,,,,,,,,X,,,,
CELL,DFS,,,4,12,,,,,,,,.,,,,
CELL,DFS,,,4,13,,,,,,,,.,,,,
CELL,DFS,,,4,14,,,,,,,,.,,,,
CELL,DFS,,,5,0,,,,,,,,.,,,,
CELL,DFS,,,5,1,,,,,,,,.,,,,
CELL,DFS,,,5,2,,,,,,,,X,,,,
CELL,DFS,,,5,3,,,,,,,,.,,,,
CELL,DFS,,,5,4,,,,,,,,.,,,,
CELL,DFS,,,5,5,,,,,,,,X,,,,
CELL,DFS,,,5,6,,,,,,,,.,,,,
CELL,DFS,,,5,7,,,,,,,,X,,,,
CELL,DFS,,,5,8,,,,,,,,.,,,,
CELL,DFS,,,5,9,,,,,,,,X,,,,
CELL,DFS,,,5,10,,,,,,,,.,,,,
CELL,DFS,,,5,11,,,,,,,,.,,,,
CELL,DFS,,,5,12,,,,,,,,.,,,,
CELL,DFS,,,5,13,,,,,,,,.,,,,
CELL,DFS,,,5,14,,,,,,,,.,,,,
CELL,DFS,,,6,0,,,,,,,,X,,,,
CELL,DFS,,,6,1,,,,,,,,.,,,,
CELL,DFS,,,6,2,,,,,,,,.,,,,
CELL,DFS,,,6,3,,,,,,,,.,,,,
CELL,DFS,,,6,4,,,,,,,,.,,,,
CELL,DFS,,,6,5,,,,,,,,.,,,,
CELL,DFS,,,6,6,,,,,,,,.,,,,
CELL,DFS,,,6,7,,,,,,,,.,,,,
CELL,DFS,,,6,8,,,,,,,,.,,,,
CELL,DFS,,,6,9,,,,,,,,.,,,,
CELL,DFS,,,6,10,,,,,,,,.,,,,
CELL,DFS,,,6,11,,,,,,,,.,,,,
CELL,DFS,,,6,12,,,,,,,,X,,,,
CELL,DFS,,,6,13,,,,,,,,.,,,,
CELL,DFS,,,6,14,,,,,,,,X,,,,
CELL,DFS,,,7,0,,,,,,,,.,,,,
CELL,DFS,,,7,1,,,,,,,,X,,,,
CELL,DFS,,,7,2,,,,,,,,X,,,,
CELL,DFS,,,7,3,,,,,,,,.,,,,
CELL,DFS,,,7,4,,,,,,,,.,,,,
CELL,DFS,,,7,5,,,,,,,,X,,,,
CELL,DFS,,,7,6,,,,,,,,.,,,,
CELL,DFS,,,7,7,,,,,,,,.,,,,
CELL,DFS,,,7,8,,,,,,,,X,,,,
CELL,DFS,,,7,9,,,,,,,,.,,,,
CELL,DFS,,,7,10,,,,,,,,.,,,,
CELL,DFS,,,7,11,,,,,,,,X,,,,
CELL,DFS,,,7,12,,,,,,,,.,,,,
CELL,DFS,,,7,13,,,,,,,,.,,,,
CELL,DFS,,,7,14,,,,,,,,.,,,,
CELL,DFS,,,8,0,,,,,,,,.,,,,
CELL,DFS,,,8,1,,,,,,,,.,,,,
CELL,DFS,,,8,2,,,,,,,,.,,,,
CELL,DFS,,,8,3,,,,,,,,X,,,,
CELL,DFS,,,8,4,,,,,,,,B,,,,
CELL,DFS,,,8,5,,,,,,,,X,,,,
CELL,DFS,,,8,6,,,,,,,,.,,,,
CELL,DFS,,,8,7,,,,,,,,.,,,,
CELL,DFS,,,8,8,,,,,,,,X,,,,
CELL,DFS,,,8,9,,,,,,,,.,,,,
CELL,DFS,,,8,10,,,,,,,,.,,,,
CELL,DFS,,,8,11,,,,,,,,.,,,,
CELL,DFS,,,8,12,,,,,,,,.,,,,
CELL,DFS,,,8,13,,,,,,,,.,,,,
CELL,DFS,,,8,14,,,,,,,,.,,,,
CELL,DFS,,,9,0,,,,,,,,X,,,,
CELL,DFS,,,9,1,,,,,,,,.,,,,
CELL,DFS,,,9,2,,,,,,,,.,,,,
CELL,DFS,,,9,3,,,,,,,,.,,,,
CELL,DFS,,,9,4,,,,,,,,.,,,,
CELL,DFS,,,9,5,,,,,,,,X,,,,
CELL,DFS,,,9,6,,,,,,,,X,,,,
CELL,DFS,,,9,7,,,,,,,,X,,,,
CELL,DFS,,,9,8,,,,,,,,.,,,,
CELL,DFS,,,9,9,,,,,,,,X,,,,
CELL,DFS,,,9,10,,,,,,,,X,,,,
CELL,DFS,,,9,11,,,,,,,,.,,,,
CELL,DFS,,,9,12,,,,,,,,.,,,,
CELL,DFS,,,9,13,,,,,,,,.,,,,
CELL,DFS,,,9,14,,,,,,,,.,,,,
EVENT,DFS,0,DISCOVER,0,13,,,0,,1,,,,,,,
EVENT,DFS,1,EXPAND,0,13,,,,,0,,,,,,,
EVENT,DFS,2,DISCOVER,0,14,0,13,,,1,,,,,,,
EVENT,DFS,3,DISCOVER,1,13,0,13,,,2,,,,,,,
EVENT,DFS,4,DISCOVER,0,12,0,13,,,3,,,,,,,
EVENT,DFS,5,EXPAND,0,12,0,13,,,2,,,,,,,
EVENT,DFS,6,DISCOVER,1,12,0,12,,,3,,,,,,,
EVENT,DFS,7,EXPAND,1,12,0,12,,,2,,,,,,,
EVENT,DFS,8,DISCOVER,1,11,1,12,,,3,,,,,,,
EVENT,DFS,9,EXPAND,1,11,1,12,,,2,,,,,,,
EVENT,DFS,10,DISCOVER,2,11,1,11,,,3,,,,,,,
EVENT,DFS,11,DISCOVER,1,10,1,11,,,4,,,,,,,
EVENT,DFS,12,EXPAND,1,10,1,11,,,3,,,,,,,
EVENT,DFS,13,DISCOVER,2,10,1,10,,,4,,,,,,,
EVENT,DFS,14,DISCOVER,0,10,1,10,,,5,,,,,,,
EVENT,DFS,15,EXPAND,0,10,1,10,,,4,,,,,,,
EVENT,DFS,16,DISCOVER,0,9,0,10,,,5,,,,,,,
EVENT,DFS,17,EXPAND,0,9,0,10,,,4,,,,,,,
EVENT,DFS,18,DISCOVER,0,8,0,9,,,5,,,,,,,
EVENT,DFS,19,EXPAND,0,8,0,9,,,4,,,,,,,
EVENT,DFS,20,DISCOVER,1,8,0,8,,,5,,,,,,,
EVENT,DFS,21,DISCOVER,0,7,0,8,,,6,,,,,,,
