record_type,algorithm,step,event,row,col,parent_row,parent_col,g,f,frontier_size,maze_rows,maze_cols,cell_value,start_row,start_col,end_row,end_col
META,DFS,,,,,,,,,,10,15,,0,12,8,4
CELL,DFS,,,0,0,,,,,,,,.,,,,
CELL,DFS,,,0,1,,,,,,,,.,,,,
CELL,DFS,,,0,2,,,,,,,,.,,,,
CELL,DFS,,,0,3,,,,,,,,.,,,,
CELL,DFS,,,0,4,,,,,,,,.,,,,
CELL,DFS,,,0,5,,,,,,,,.,,,,
CELL,DFS,,,0,6,,,,,,,,.,,,,
CELL,DFS,,,0,7,,,,,,,,.,,,,
CELL,DFS,,,0,8,,,,,,,,.,,,,
CELL,DFS,,,0,9,,,,,,,,.,,,,
CELL,DFS,,,0,10,,,,,,,,.,,,,
CELL,DFS,,,0,11,,,,,,,,.,,,,
CELL,DFS,,,0,12,,,,,,,,A,,,,
CELL,DFS,,,0,13,,,,,,,,.,,,,
CELL,DFS,,,0,14,,,,,,,,.,,,,
CELL,DFS,,,1,0,,,,,,,,.,,,,
CELL,DFS,,,1,1,,,,,,,,.,,,,
CELL,DFS,,,1,2,,,,,,,,.,,,,
CELL,DFS,,,1,3,,,,,,,,.,,,,
CELL,DFS,,,1,4,,,,,,,,.,,,,
CELL,DFS,,,1,5,,,,,,,,.,,,,
CELL,DFS,,,1,6,,,,,,,,.,,,,
CELL,DFS,,,1,7,,,,,,,,.,,,,
CELL,DFS,,,1,8,,,,,,,,.,,,,
CELL,DFS,,,1,9,,,,,,,,.,,,,
CELL,DFS,,,1,10,,,,,,,,.,,,,
CELL,DFS,,,1,11,,,,,,,,.,,,,
CELL,DFS,,,1,12,,,,,,,,.,,,,
CELL,DFS,,,1,13,,,,,,,,.,,,,
CELL,DFS,,,1,14,,,,,,,,.,,,,
CELL,DFS,,,2,0,,,,,,,,.,,,,
CELL,DFS,,,2,1,,,,,,,,.,,,,
CELL,DFS,,,2,2,,,,,,,,.,,,,
CELL,DFS,,,2,3,,,,,,,,.,,,,
CELL,DFS,,,2,4,,,,,,,,.,,,,
CELL,DFS,,,2,5,,,,,,,,.,,,,
CELL,DFS,,,2,6,,,,,,,,.,,,,
CELL,DFS,,,2,7,,,,,,,,.,,,,
CELL,DFS,,,2,8,,,,,,,,.,,,,
CELL,DFS,,,2,9,,,,,,,,.,,,,
CELL,DFS,,,2,10,,,,,,,,.,,,,
CELL,DFS,,,2,11,,,,,,,,.,,,,
CELL,DFS,,,2,12,,,,,,,,.,,,,
CELL,DFS,,,2,13,,,,,,,,.,,,,
CELL,DFS,,,2,14,,,,,,,,.,,,,
CELL,DFS,,,3,0,,,,,,,,.,,,,
CELL,DFS,,,3,1,,,,,,,,.,,,,
CELL,DFS,,,3,2,,,,,,,,.,,,,
CELL,DFS,,,3,3,,,,,,,,.,,,,
CELL,DFS,,,3,4,,,,,,,,.,,,,
CELL,DFS,,,3,5,,,,,,,,.,,,,
CELL,DFS,,,3,6,,,,,,,,.,,,,
CELL,DFS,,,3,7,,,,,,,,.,,,,
CELL,DFS,,,3,8,,,,,,,,.,,,,
CELL,DFS,,,3,9,,,,,,,,.,,,,
CELL,DFS,,,3,10,,,,,,,,.,,,,
CELL,DFS,,,3,11,,,,,,,,.,,,,
CELL,DFS,,,3,12,,,,,,,,.,,,,
CELL,DFS,,,3,13,,,,,,,,.,,,,
CELL,DFS,,,3,14,,,,,,,,.,,,,
CELL,DFS,,,4,0,,,,,,,,.,,,,
CELL,DFS,,,4,1,,,,,,,,.,,,,
CELL,DFS,,,4,2,,,,,,,,.,,,,
CELL,DFS,,,4,3,,,,,,,,.,,,,
CELL,DFS,,,4,4,,,,,,,,.,,,,
CELL,DFS,,,4,5,,,,,,,,.,,,,
CELL,DFS,,,4,6,,,,,,,,.,,,,
CELL,DFS,,,4,7,,,,,,,,.,,,,
CELL,DFS,,,4,8,,,,,,,,.,,,,
CELL,DFS,,,4,9,,,,,,,,.,,,,
CELL,DFS,,,4,10,,,,,,,,.,,,,
CELL,DFS,,,4,11,,,,,,,,.,,,,
CELL,DFS,,,4,12,,,,,,,,.,,,,
CELL,DFS,,,4,13,,,,,,,,.,,,,
CELL,DFS,,,4,14,,,,,,,,.,,,,
CELL,DFS,,,5,0,,,,,,,,.,,,,
CELL,DFS,,,5,1,,,,,,,,.,,,,
CELL,DFS,,,5,2,,,,,,,,.,,,,
CELL,DFS,,,5,3,,,,,,,,.,,,,
CELL,DFS,,,5,4,,,,,,,,.,,,,
CELL,DFS,,,5,5,,,,,,,,.,,,,
CELL,DFS,,,5,6,,,,,,,,.,,,,
CELL,DFS,,,5,7,,,,,,,,.,,,,
CELL,DFS,,,5,8,,,,,,,,.,,,,
CELL,DFS,,,5,9,,,,,,,,.,,,,
CELL,DFS,,,5,10,,,,,,,,.,,,,
CELL,DFS,,,5,11,,,,,,,,.,,,,
CELL,DFS,,,5,12,,,,,,,,.,,,,
CELL,DFS,,,5,13,,,,,,,,.,,,,
CELL,DFS,,,5,14,,,,,,,,.,,,,
CELL,DFS,,,6,0,,,,,,,,.,,,,
CELL,DFS,,,6,1,,,,,,,,.,,,,
CELL,DFS,,,6,2,,,,,,,,.,,,,
CELL,DFS,,,6,3,,,,,,,,.,,,,
CELL,DFS,,,6,4,,,,,,,,.,,,,
CELL,DFS,,,6,5,,,,,,,,.,,,,
CELL,DFS,,,6,6,,,,,,,,.,,,,
CELL,DFS,,,6,7,,,,,,,,.,,,,
CELL,DFS,,,6,8,,,,,,,,X,,,,
CELL,DFS,,,6,9,,,,,,,,.,,,,
CELL,DFS,,,6,10,,,,,,,,.,,,,
CELL,DFS,,,6,11,,,,,,,,.,,,,
CELL,DFS,,,6,12,,,,,,,,.,,,,
CELL,DFS,,,6,13,,,,,,,,.,,,,
CELL,DFS,,,6,14,,,,,,,,.,,,,
CELL,DFS,,,7,0,,,,,,,,.,,,,
CELL,DFS,,,7,1,,,,,,,,.,,,,
CELL,DFS,,,7,2,,,,,,,,.,,,,
CELL,DFS,,,7,3,,,,,,,,.,,,,
CELL,DFS,,,7,4,,,,,,,,.,,,,
CELL,DFS,,,7,5,,,,,,,,.,,,,
CELL,DFS,,,7,6,,,,,,,,.,,,,
CELL,DFS,,,7,7,,,,,,,,.,,,,
CELL,DFS,,,7,8,,,,,,,,.,,,,
CELL,DFS,,,7,9,,,,,,,,.,,,,
CELL,DFS,,,7,10,,,,,,,,.,,,,
CELL,DFS,,,7,11,,,,,,,,.,,,,
CELL,DFS,,,7,12,,,,,,,,X,,,,
CELL,DFS,,,7,13,,,,,,,,.,,,,
CELL,DFS,,,7,14,,,,,,,,.,,,,
CELL,DFS,,,8,0,,,,,,,,.,,,,
CELL,DFS,,,8,1,,,,,,,,.,,,,
CELL,DFS,,,8,2,,,,,,,,.,,,,
CELL,DFS,,,8,3,,,,,,,,X,,,,
CELL,DFS,,,8,4,,,,,,,,B,,,,
CELL,DFS,,,8,5,,,,,,,,.,,,,
CELL,DFS,,,8,6,,,,,,,,.,,,,
CELL,DFS,,,8,7,,,,,,,,.,,,,
CELL,DFS,,,8,8,,,,,,,,.,,,,
