record_type,algorithm,step,event,row,col,parent_row,parent_col,g,f,frontier_size,maze_rows,maze_cols,cell_value,start_row,start_col,end_row,end_col
META,A*,,,,,,,,,,20,40,,1,2,15,24
CELL,A*,,,0,0,,,,,,,,.,,,,
CELL,A*,,,0,1,,,,,,,,.,,,,
CELL,A*,,,0,2,,,,,,,,.,,,,
CELL,A*,,,0,3,,,,,,,,.,,,,
CELL,A*,,,0,4,,,,,,,,.,,,,
CELL,A*,,,0,5,,,,,,,,.,,,,
CELL,A*,,,0,6,,,,,,,,.,,,,
CELL,A*,,,0,7,,,,,,,,.,,,,
CELL,A*,,,0,8,,,,,,,,.,,,,
CELL,A*,,,0,9,,,,,,,,.,,,,
CELL,A*,,,0,10,,,,,,,,.,,,,
CELL,A*,,,0,11,,,,,,,,.,,,,
CELL,A*,,,0,12,,,,,,,,.,,,,
CELL,A*,,,0,13,,,,,,,,.,,,,
CELL,A*,,,0,14,,,,,,,,.,,,,
CELL,A*,,,0,15,,,,,,,,.,,,,
CELL,A*,,,0,16,,,,,,,,.,,,,
CELL,A*,,,0,17,,,,,,,,.,,,,
CELL,A*,,,0,18,,,,,,,,.,,,,
CELL,A*,,,0,19,,,,,,,,.,,,,
CELL,A*,,,0,20,,,,,,,,.,,,,
CELL,A*,,,0,21,,,,,,,,.,,,,
CELL,A*,,,0,22,,,,,,,,.,,,,
CELL,A*,,,0,23,,,,,,,,.,,,,
CELL,A*,,,0,24,,,,,,,,.,,,,
CELL,A*,,,0,25,,,,,,,,.,,,,
CELL,A*,,,0,26,,,,,,,,.,,,,
CELL,A*,,,0,27,,,,,,,,.,,,,
CELL,A*,,,0,28,,,,,,,,.,,,,
CELL,A*,,,0,29,,,,,,,,.,,,,
CELL,A*,,,0,30,,,,,,,,.,,,,
CELL,A*,,,0,31,,,,,,,,.,,,,
CELL,A*,,,0,32,,,,,,,,.,,,,
CELL,A*,,,0,33,,,,,,,,.,,,,
CELL,A*,,,0,34,,,,,,,,.,,,,
CELL,A*,,,0,35,,,,,,,,.,,,,
CELL,A*,,,0,36,,,,,,,,.,,,,
CELL,A*,,,0,37,,,,,,,,.,,,,
CELL,A*,,,0,38,,,,,,,,.,,,,
CELL,A*,,,0,39,,,,,,,,.,,,,
CELL,A*,,,1,0,,,,,,,,.,,,,
CELL,A*,,,1,1,,,,,,,,.,,,,
CELL,A*,,,1,2,,,,,,,,A,,,,
CELL,A*,,,1,3,,,,,,,,.,,,,
CELL,A*,,,1,4,,,,,,,,.,,,,
CELL,A*,,,1,5,,,,,,,,.,,,,
CELL,A*,,,1,6,,,,,,,,.,,,,
CELL,A*,,,1,7,,,,,,,,.,,,,
CELL,A*,,,1,8,,,,,,,,.,,,,
CELL,A*,,,1,9,,,,,,,,.,,,,
CELL,A*,,,1,10,,,,,,,,.,,,,
CELL,A*,,,1,11,,,,,,,,.,,,,
CELL,A*,,,1,12,,,,,,,,.,,,,
CELL,A*,,,1,13,,,,,,,,.,,,,
CELL,A*,,,1,14,,,,,,,,.,,,,
CELL,A*,,,1,15,,,,,,,,.,,,,
CELL,A*,,,1,16,,,,,,,,.,,,,
CELL,A*,,,1,17,,,,,,,,.,,,,
CELL,A*,,,1,18,,,,,,,,.,,,,
CELL,A*,,,1,19,,,,,,,,.,,,,
CELL,A*,,,1,20,,,,,,,,.,,,,
CELL,A*,,,1,21,,,,,,,,.,,,,
CELL,A*,,,1,22,,,,,,,,.,,,,
CELL,A*,,,1,23,,,,,,,,.,,,,
CELL,A*,,,1,24,,,,,,,,.,,,,
CELL,A*,,,1,25,,,,,,,,.,,,,
CELL,A*,,,1,26,,,,,,,,.,,,,
CELL,A*,,,1,27,,,,,,,,.,,,,
CELL,A*,,,1,28,,,,,,,,.,,,,
CELL,A*,,,1,29,,,,,,,,.,,,,
CELL,A*,,,1,30,,,,,,,,.,,,,
CELL,A*,,,1,31,,,,,,,,.,,,,
CELL,A*,,,1,32,,,,,,,,.,,,,
CELL,A*,,,1,33,,,,,,,,.,,,,
CELL,A*,,,1,34,,,,,,,,.,,,,
CELL,A*,,,1,35,,,,,,,,.,,,,
CELL,A*,,,1,36,,,,,,,,.,,,,
CELL,A*,,,1,37,,,,,,,,.,,,,
CELL,A*,,,1,38,,,,,,,,.,,,,
CELL,A*,,,1,39,,,,,,,,.,,,,
CELL,A*,,,2,0,,,,,,,,.,,,,
CELL,A*,,,2,1,,,,,,,,.,,,,
CELL,A*,,,2,2,,,,,,,,.,,,,
CELL,A*,,,2,3,,,,,,,,.,,,,
CELL,A*,,,2,4,,,,,,,,.,,,,
CELL,A*,,,2,5,,,,,,,,.,,,,
CELL,A*,,,2,6,,,,,,,,.,,,,
CELL,A*,,,2,7,,,,,,,,.,,,,
CELL,A*,,,2,8,,,,,,,,.,,,,
CELL,A*,,,2,9,,,,,,,,.,,,,
CELL,A*,,,2,10,,,,,,,,.,,,,
CELL,A*,,,2,11,,,,,,,,.,,,,
CELL,A*,,,2,12,,,,,,,,.,,,,
CELL,A*,,,2,13,,,,,,,,.,,,,
CELL,A*,,,2,14,,,,,,,,.,,,,
CELL,A*,,,2,15,,,,,,,,.,,,,
CELL,A*,,,2,16,,,,,,,,.,,,,
CELL,A*,,,2,17,,,,,,,,.,,,,
CELL,A*,,,2,18,,,,,,,,.,,,,
CELL,A*,,,2,19,,,,,,,,.,,,,
CELL,A*,,,2,20,,,,,,,,.,,,,
CELL,A*,,,2,21,,,,,,,,.,,,,
CELL,A*,,,2,22,,,,,,,,.,,,,
CELL,A*,,,2,23,,,,,,,,.,,,,
CELL,A*,,,2,24,,,,,,,,.,,,,
CELL,A*,,,2,25,,,,,,,,.,,,,
CELL,A*,,,2,26,,,,,,,,.,,,,
CELL,A*,,,2,27,,,,,,,,.,,,,
CELL,A*,,,2,28,,,,,,,,.,,,,
CELL,A*,,,2,29,,,,,,,,.,,,,
CELL,A*,,,2,30,,,,,,,,.,,,,
CELL,A*,,,2,31,,,,,,,,.,,,,
CELL,A*,,,2,32,,,,,,,,.,,,,
CELL,A*,,,2,33,,,,,,,,.,,,,
CELL,A*,,,2,34,,,,,,,,.,,,,
CELL,A*,,,2,35,,,,,,,,.,,,,
CELL,A*,,,2,36,,,,,,,,.,,,,
CELL,A*,,,2,37,,,,,,,,.,,,,
CELL,A*,,,2,38,,,,,,,,.,,,,
CELL,A*,,,2,39,,,,,,,,.,,,,
CELL,A*,,,3,0,,,,,,,,.,,,,
CELL,A*,,,3,1,,,,,,,,.,,,,
CELL,A*,,,3,2,,,,,,,,.,,,,
CELL,A*,,,3,3,,,,,,,,.,,,,
CELL,A*,,,3,4,,,,,,,,.,,,,
CELL,A*,,,3,5,,,,,,,,.,,,,
CELL,A*,,,3,6,,,,,,,,.,,,,
CELL,A*,,,3,7,,,,,,,,.,,,,
CELL,A*,,,3,8,,,,,,,,.,,,,
CELL,A*,,,3,9,,,,,,,,.,,,,
CELL,A*,,,3,10,,,,,,,,.,,,,
CELL,A*,,,3,11,,,,,,,,.,,,,
CELL,A*,,,3,12,,,,,,,,.,,,,
CELL,A*,,,3,13,,,,,,,,.,,,,
CELL,A*,,,3,14,,,,,,,,.,,,,
CELL,A*,,,3,15,,,,,,,,.,,,,
CELL,A*,,,3,16,,,,,,,,.,,,,
CELL,A*,,,3,17,,,,,,,,.,,,,
CELL,A*,,,3,18,,,,,,,,.,,,,
CELL,A*,,,3,19,,,,,,,,.,,,,
CELL,A*,,,3,20,,,,,,,,.,,,,
CELL,A*,,,3,21,,,,,,,,.,,,,
CELL,A*,,,3,22,,,,,,,,.,,,,
CELL,A*,,,3,23,,,,,,,,.,,,,
