record_type,algorithm,step,event,row,col,parent_row,parent_col,g,f,frontier_size,maze_rows,maze_cols,cell_value,start_row,start_col,end_row,end_col
META,BFS,,,,,,,,,,20,40,,1,2,15,24
CELL,BFS,,,0,0,,,,,,,,.,,,,
CELL,BFS,,,0,1,,,,,,,,.,,,,
CELL,BFS,,,0,2,,,,,,,,.,,,,
CELL,BFS,,,0,3,,,,,,,,.,,,,
CELL,BFS,,,0,4,,,,,,,,.,,,,
CELL,BFS,,,0,5,,,,,,,,.,,,,
CELL,BFS,,,0,6,,,,,,,,.,,,,
CELL,BFS,,,0,7,,,,,,,,.,,,,
CELL,BFS,,,0,8,,,,,,,,.,,,,
CELL,BFS,,,0,9,,,,,,,,.,,,,
CELL,BFS,,,0,10,,,,,,,,.,,,,
CELL,BFS,,,0,11,,,,,,,,.,,,,
CELL,BFS,,,0,12,,,,,,,,.,,,,
CELL,BFS,,,0,13,,,,,,,,.,,,,
CELL,BFS,,,0,14,,,,,,,,.,,,,
CELL,BFS,,,0,15,,,,,,,,.,,,,
CELL,BFS,,,0,16,,,,,,,,.,,,,
CELL,BFS,,,0,17,,,,,,,,.,,,,
CELL,BFS,,,0,18,,,,,,,,.,,,,
CELL,BFS,,,0,19,,,,,,,,.,,,,
CELL,BFS,,,0,20,,,,,,,,.,,,,
CELL,BFS,,,0,21,,,,,,,,.,,,,
CELL,BFS,,,0,22,,,,,,,,.,,,,
CELL,BFS,,,0,23,,,,,,,,.,,,,
CELL,BFS,,,0,24,,,,,,,,.,,,,
CELL,BFS,,,0,25,,,,,,,,.,,,,
CELL,BFS,,,0,26,,,,,,,,.,,,,
CELL,BFS,,,0,27,,,,,,,,.,,,,
CELL,BFS,,,0,28,,,,,,,,.,,,,
CELL,BFS,,,0,29,,,,,,,,.,,,,
CELL,BFS,,,0,30,,,,,,,,.,,,,
CELL,BFS,,,0,31,,,,,,,,.,,,,
CELL,BFS,,,0,32,,,,,,,,.,,,,
CELL,BFS,,,0,33,,,,,,,,.,,,,
CELL,BFS,,,0,34,,,,,,,,.,,,,
CELL,BFS,,,0,35,,,,,,,,.,,,,
CELL,BFS,,,0,36,,,,,,,,.,,,,
CELL,BFS,,,0,37,,,,,,,,.,,,,
CELL,BFS,,,0,38,,,,,,,,.,,,,
CELL,BFS,,,0,39,,,,,,,,.,,,,
CELL,BFS,,,1,0,,,,,,,,.,,,,
CELL,BFS,,,1,1,,,,,,,,.,,,,
CELL,BFS,,,1,2,,,,,,,,A,,,,
CELL,BFS,,,1,3,,,,,,,,.,,,,
CELL,BFS,,,1,4,,,,,,,,.,,,,
CELL,BFS,,,1,5,,,,,,,,.,,,,
CELL,BFS,,,1,6,,,,,,,,.,,,,
CELL,BFS,,,1,7,,,,,,,,.,,,,
CELL,BFS,,,1,8,,,,,,,,.,,,,
CELL,BFS,,,1,9,,,,,,,,.,,,,
CELL,BFS,,,1,10,,,,,,,,.,,,,
CELL,BFS,,,1,11,,,,,,,,.,,,,
CELL,BFS,,,1,12,,,,,,,,.,,,,
CELL,BFS,,,1,13,,,,,,,,.,,,,
CELL,BFS,,,1,14,,,,,,,,.,,,,
CELL,BFS,,,1,15,,,,,,,,.,,,,
CELL,BFS,,,1,16,,,,,,,,.,,,,
CELL,BFS,,,1,17,,,,,,,,.,,,,
CELL,BFS,,,1,18,,,,,,,,.,,,,
CELL,BFS,,,1,19,,,,,,,,.,,,,
CELL,BFS,,,1,20,,,,,,,,.,,,,
CELL,BFS,,,1,21,,,,,,,,.,,,,
CELL,BFS,,,1,22,,,,,,,,.,,,,
CELL,BFS,,,1,23,,,,,,,,.,,,,
CELL,BFS,,,1,24,,,,,,,,.,,,,
CELL,BFS,,,1,25,,,,,,,,.,,,,
CELL,BFS,,,1,26,,,,,,,,.,,,,
CELL,BFS,,,1,27,,,,,,,,.,,,,
CELL,BFS,,,1,28,,,,,,,,.,,,,
CELL,BFS,,,1,29,,,,,,,,.,,,,
CELL,BFS,,,1,30,,,,,,,,.,,,,
CELL,BFS,,,1,31,,,,,,,,.,,,,
CELL,BFS,,,1,32,,,,,,,,.,,,,
CELL,BFS,,,1,33,,,,,,,,.,,,,
CELL,BFS,,,1,34,,,,,,,,.,,,,
CELL,BFS,,,1,35,,,,,,,,.,,,,
CELL,BFS,,,1,36,,,,,,,,.,,,,
CELL,BFS,,,1,37,,,,,,,,.,,,,
CELL,BFS,,,1,38,,,,,,,,.,,,,
CELL,BFS,,,1,39,,,,,,,,.,,,,
CELL,BFS,,,2,0,,,,,,,,.,,,,
