record_type,algorithm,step,event,row,col,parent_row,parent_col,g,f,frontier_size,maze_rows,maze_cols,cell_value,start_row,start_col,end_row,end_col
META,DFS,,,,,,,,,,20,40,,1,2,15,24
CELL,DFS,,,0,0,,,,,,,,.,,,,
CELL,DFS,,,0,1,,,,,,,,.,,,,
CELL,DFS,,,0,2,,,,,,,,.,,,,
CELL,DFS,,,0,3,,,,,,,,.,,,,
CELL,DFS,,,0,4,,,,,,,,.,,,,
CELL,DFS,,,0,5,,,,,,,,.,,,,
CELL,DFS,,,0,6,,,,,,,,.,,,,
CELL,DFS,,,0,7,,,,,,,,.,,,,
CELL,DFS,,,0,8,,,,,,,,.,,,,
CELL,DFS,,,0,9,,,,,,,,.,,,,
CELL,DFS,,,0,10,,,,,,,,.,,,,
CELL,DFS,,,0,11,,,,,,,,.,,,,
CELL,DFS,,,0,12,,,,,,,,.,,,,
CELL,DFS,,,0,13,,,,,,,,.,,,,
CELL,DFS,,,0,14,,,,,,,,.,,,,
CELL,DFS,,,0,15,,,,,,,,.,,,,
CELL,DFS,,,0,16,,,,,,,,.,,,,
CELL,DFS,,,0,17,,,,,,,,.,,,,
CELL,DFS,,,0,18,,,,,,,,.,,,,
CELL,DFS,,,0,19,,,,,,,,.,,,,
CELL,DFS,,,0,20,,,,,,,,.,,,,
CELL,DFS,,,0,21,,,,,,,,.,,,,
CELL,DFS,,,0,22,,,,,,,,.,,,,
CELL,DFS,,,0,23,,,,,,,,.,,,,
CELL,DFS,,,0,24,,,,,,,,.,,,,
CELL,DFS,,,0,25,,,,,,,,.,,,,
CELL,DFS,,,0,26,,,,,,,,.,,,,
CELL,DFS,,,0,27,,,,,,,,.,,,,
CELL,DFS,,,0,28,,,,,,,,.,,,,
CELL,DFS,,,0,29,,,,,,,,.,,,,
CELL,DFS,,,0,30,,,,,,,,.,,,,
CELL,DFS,,,0,31,,,,,,,,.,,,,
CELL,DFS,,,0,32,,,,,,,,.,,,,
CELL,DFS,,,0,33,,,,,,,,.,,,,
CELL,DFS,,,0,34,,,,,,,,.,,,,
CELL,DFS,,,0,35,,,,,,,,.,,,,
CELL,DFS,,,0,36,,,,,,,,.,,,,
CELL,DFS,,,0,37,,,,,,,,.,,,,
CELL,DFS,,,0,38,,,,,,,,.,,,,
CELL,DFS,,,0,39,,,,,,,,.,,,,
CELL,DFS,,,1,0,,,,,,,,.,,,,
CELL,DFS,,,1,1,,,,,,,,.,,,,
CELL,DFS,,,1,2,,,,,,,,A,,,,
CELL,DFS,,,1,3,,,,,,,,.,,,,
CELL,DFS,,,1,4,,,,,,,,.,,,,
CELL,DFS,,,1,5,,,,,,,,.,,,,
CELL,DFS,,,1,6,,,,,,,,.,,,,
CELL,DFS,,,1,7,,,,,,,,.,,,,
CELL,DFS,,,1,8,,,,,,,,.,,,,
CELL,DFS,,,1,9,,,,,,,,.,,,,
CELL,DFS,,,1,10,,,,,,,,.,,,,
CELL,DFS,,,1,11,,,,,,,,.,,,,
CELL,DFS,,,1,12,,,,,,,,.,,,,
CELL,DFS,,,1,13,,,,,,,,.,,,,
CELL,DFS,,,1,14,,,,,,,,.,,,,
CELL,DFS,,,1,15,,,,,,,,.,,,,
CELL,DFS,,,1,16,,,,,,,,.,,,,
CELL,DFS,,,1,17,,,,,,,,.,,,,
CELL,DFS,,,1,18,,,,,,,,.,,,,
CELL,DFS,,,1,19,,,,,,,,.,,,,
CELL,DFS,,,1,20,,,,,,,,.,,,,
CELL,DFS,,,1,21,,,,,,,,.,,,,
CELL,DFS,,,1,22,,,,,,,,.,,,,
CELL,DFS,,,1,23,,,,,,,,.,,,,
CELL,DFS,,,1,24,,,,,,,,.,,,,
CELL,DFS,,,1,25,,,,,,,,.,,,,
CELL,DFS,,,1,26,,,,,,,,.,,,,
CELL,DFS,,,1,27,,,,,,,,.,,,,
CELL,DFS,,,1,28,,,,,,,,.,,,,
CELL,DFS,,,1,29,,,,,,,,.,,,,
CELL,DFS,,,1,30,,,,,,,,.,,,,
CELL,DFS,,,1,31,,,,,,,,.,,,,
CELL,DFS,,,1,32,,,,,,,,.,,,,
CELL,DFS,,,1,33,,,,,,,,.,,,,
CELL,DFS,,,1,34,,,,,,,,.,,,,
CELL,DFS,,,1,35,,,,,,,,.,,,,
CELL,DFS,,,1,36,,,,,,,,.,,,,
