record_type,algorithm,step,event,row,col,parent_row,parent_col,g,f,frontier_size,maze_rows,maze_cols,cell_value,start_row,start_col,end_row,end_col
META,A*,,,,,,,,,,20,40,,1,2,15,25
CELL,A*,,,0,0,,,,,,,,X,,,,
CELL,A*,,,0,1,,,,,,,,.,,,,
CELL,A*,,,0,2,,,,,,,,X,,,,
CELL,A*,,,0,3,,,,,,,,.,,,,
CELL,A*,,,0,4,,,,,,,,.,,,,
CELL,A*,,,0,5,,,,,,,,.,,,,
CELL,A*,,,0,6,,,,,,,,X,,,,
CELL,A*,,,0,7,,,,,,,,.,,,,
CELL,A*,,,0,8,,,,,,,,X,,,,
CELL,A*,,,0,9,,,,,,,,X,,,,
CELL,A*,,,0,10,,,,,,,,.,,,,
CELL,A*,,,0,11,,,,,,,,.,,,,
CELL,A*,,,0,12,,,,,,,,X,,,,
CELL,A*,,,0,13,,,,,,,,.,,,,
CELL,A*,,,0,14,,,,,,,,.,,,,
CELL,A*,,,0,15,,,,,,,,.,,,,
CELL,A*,,,0,16,,,,,,,,X,,,,
CELL,A*,,,0,17,,,,,,,,.,,,,
CELL,A*,,,0,18,,,,,,,,X,,,,
CELL,A*,,,0,19,,,,,,,,.,,,,
CELL,A*,,,0,20,,,,,,,,X,,,,
CELL,A*,,,0,21,,,,,,,,.,,,,
CELL,A*,,,0,22,,,,,,,,.,,,,
CELL,A*,,,0,23,,,,,,,,.,,,,
CELL,A*,,,0,24,,,,,,,,.,,,,
CELL,A*,,,0,25,,,,,,,,.,,,,
CELL,A*,,,0,26,,,,,,,,.,,,,
CELL,A*,,,0,27,,,,,,,,.,,,,
CELL,A*,,,0,28,,,,,,,,.,,,,
CELL,A*,,,0,29,,,,,,,,X,,,,
CELL,A*,,,0,30,,,,,,,,X,,,,
CELL,A*,,,0,31,,,,,,,,.,,,,
CELL,A*,,,0,32,,,,,,,,.,,,,
CELL,A*,,,0,33,,,,,,,,.,,,,
CELL,A*,,,0,34,,,,,,,,.,,,,
CELL,A*,,,0,35,,,,,,,,X,,,,
CELL,A*,,,0,36,,,,,,,,X,,,,
CELL,A*,,,0,37,,,,,,,,.,,,,
CELL,A*,,,0,38,,,,,,,,.,,,,
CELL,A*,,,0,39,,,,,,,,.,,,,
CELL,A*,,,1,0,,,,,,,,.,,,,
CELL,A*,,,1,1,,,,,,,,.,,,,
CELL,A*,,,1,2,,,,,,,,A,,,,
CELL,A*,,,1,3,,,,,,,,.,,,,
CELL,A*,,,1,4,,,,,,,,.,,,,
CELL,A*,,,1,5,,,,,,,,.,,,,
CELL,A*,,,1,6,,,,,,,,.,,,,
CELL,A*,,,1,7,,,,,,,,.,,,,
CELL,A*,,,1,8,,,,,,,,X,,,,
CELL,A*,,,1,9,,,,,,,,.,,,,
CELL,A*,,,1,10,,,,,,,,.,,,,
CELL,A*,,,1,11,,,,,,,,X,,,,
CELL,A*,,,1,12,,,,,,,,X,,,,
CELL,A*,,,1,13,,,,,,,,.,,,,
CELL,A*,,,1,14,,,,,,,,.,,,,
CELL,A*,,,1,15,,,,,,,,X,,,,
CELL,A*,,,1,16,,,,,,,,X,,,,
CELL,A*,,,1,17,,,,,,,,.,,,,
CELL,A*,,,1,18,,,,,,,,.,,,,
CELL,A*,,,1,19,,,,,,,,.,,,,
CELL,A*,,,1,20,,,,,,,,X,,,,
CELL,A*,,,1,21,,,,,,,,X,,,,
CELL,A*,,,1,22,,,,,,,,.,,,,
CELL,A*,,,1,23,,,,,,,,.,,,,
CELL,A*,,,1,24,,,,,,,,.,,,,
CELL,A*,,,1,25,,,,,,,,.,,,,
CELL,A*,,,1,26,,,,,,,,.,,,,
CELL,A*,,,1,27,,,,,,,,.,,,,
CELL,A*,,,1,28,,,,,,,,X,,,,
CELL,A*,,,1,29,,,,,,,,.,,,,
CELL,A*,,,1,30,,,,,,,,X,,,,
CELL,A*,,,1,31,,,,,,,,X,,,,
CELL,A*,,,1,32,,,,,,,,X,,,,
CELL,A*,,,1,33,,,,,,,,.,,,,
CELL,A*,,,1,34,,,,,,,,X,,,,
CELL,A*,,,1,35,,,,,,,,.,,,,
CELL,A*,,,1,36,,,,,,,,.,,,,
CELL,A*,,,1,37,,,,,,,,X,,,,
CELL,A*,,,1,38,,,,,,,,X,,,,
CELL,A*,,,1,39,,,,,,,,.,,,,
CELL,A*,,,2,0,,,,,,,,X,,,,
