record_type,algorithm,step,event,row,col,parent_row,parent_col,g,f,frontier_size,maze_rows,maze_cols,cell_value,start_row,start_col,end_row,end_col
META,BFS,,,,,,,,,,20,40,,1,2,15,25
CELL,BFS,,,0,0,,,,,,,,X,,,,
CELL,BFS,,,0,1,,,,,,,,.,,,,
CELL,BFS,,,0,2,,,,,,,,X,,,,
CELL,BFS,,,0,3,,,,,,,,.,,,,
CELL,BFS,,,0,4,,,,,,,,.,,,,
CELL,BFS,,,0,5,,,,,,,,.,,,,
CELL,BFS,,,0,6,,,,,,,,X,,,,
CELL,BFS,,,0,7,,,,,,,,.,,,,
CELL,BFS,,,0,8,,,,,,,,X,,,,
CELL,BFS,,,0,9,,,,,,,,X,,,,
CELL,BFS,,,0,10,,,,,,,,.,,,,
CELL,BFS,,,0,11,,,,,,,,.,,,,
CELL,BFS,,,0,12,,,,,,,,X,,,,
CELL,BFS,,,0,13,,,,,,,,.,,,,
CELL,BFS,,,0,14,,,,,,,,.,,,,
CELL,BFS,,,0,15,,,,,,,,.,,,,
CELL,BFS,,,0,16,,,,,,,,X,,,,
CELL,BFS,,,0,17,,,,,,,,.,,,,
CELL,BFS,,,0,18,,,,,,,,X,,,,
CELL,BFS,,,0,19,,,,,,,,.,,,,
CELL,BFS,,,0,20,,,,,,,,X,,,,
CELL,BFS,,,0,21,,,,,,,,.,,,,
CELL,BFS,,,0,22,,,,,,,,.,,,,
CELL,BFS,,,0,23,,,,,,,,.,,,,
CELL,BFS,,,0,24,,,,,,,,.,,,,
CELL,BFS,,,0,25,,,,,,,,.,,,,
CELL,BFS,,,0,26,,,,,,,,.,,,,
CELL,BFS,,,0,27,,,,,,,,.,,,,
CELL,BFS,,,0,28,,,,,,,,.,,,,
CELL,BFS,,,0,29,,,,,,,,X,,,,
CELL,BFS,,,0,30,,,,,,,,X,,,,
CELL,BFS,,,0,31,,,,,,,,.,,,,
CELL,BFS,,,0,32,,,,,,,,.,,,,
CELL,BFS,,,0,33,,,,,,,,.,,,,
CELL,BFS,,,0,34,,,,,,,,.,,,,
CELL,BFS,,,0,35,,,,,,,,X,,,,
CELL,BFS,,,0,36,,,,,,,,X,,,,
CELL,BFS,,,0,37,,,,,,,,.,,,,
CELL,BFS,,,0,38,,,,,,,,.,,,,
CELL,BFS,,,0,39,,,,,,,,.,,,,
CELL,BFS,,,1,0,,,,,,,,.,,,,
CELL,BFS,,,1,1,,,,,,,,.,,,,
CELL,BFS,,,1,2,,,,,,,,A,,,,
CELL,BFS,,,1,3,,,,,,,,.,,,,
CELL,BFS,,,1,4,,,,,,,,.,,,,
CELL,BFS,,,1,5,,,,,,,,.,,,,
CELL,BFS,,,1,6,,,,,,,,.,,,,
CELL,BFS,,,1,7,,,,,,,,.,,,,
CELL,BFS,,,1,8,,,,,,,,X,,,,
CELL,BFS,,,1,9,,,,,,,,.,,,,
CELL,BFS,,,1,10,,,,,,,,.,,,,
CELL,BFS,,,1,11,,,,,,,,X,,,,
CELL,BFS,,,1,12,,,,,,,,X,,,,
CELL,BFS,,,1,13,,,,,,,,.,,,,
CELL,BFS,,,1,14,,,,,,,,.,,,,
CELL,BFS,,,1,15,,,,,,,,X,,,,
CELL,BFS,,,1,16,,,,,,,,X,,,,
CELL,BFS,,,1,17,,,,,,,,.,,,,
CELL,BFS,,,1,18,,,,,,,,.,,,,
CELL,BFS,,,1,19,,,,,,,,.,,,,
CELL,BFS,,,1,20,,,,,,,,X,,,,
CELL,BFS,,,1,21,,,,,,,,X,,,,
CELL,BFS,,,1,22,,,,,,,,.,,,,
CELL,BFS,,,1,23,,,,,,,,.,,,,
CELL,BFS,,,1,24,,,,,,,,.,,,,
CELL,BFS,,,1,25,,,,,,,,.,,,,
CELL,BFS,,,1,26,,,,,,,,.,,,,
CELL,BFS,,,1,27,,,,,,,,.,,,,
CELL,BFS,,,1,28,,,,,,,,X,,,,
CELL,BFS,,,1,29,,,,,,,,.,,,,
CELL,BFS,,,1,30,,,,,,,,X,,,,
CELL,BFS,,,1,31,,,,,,,,X,,,,
CELL,BFS,,,1,32,,,,,,,,X,,,,
CELL,BFS,,,1,33,,,,,,,,.,,,,
CELL,BFS,,,1,34,,,,,,,,X,,,,
CELL,BFS,,,1,35,,,,,,,,.,,,,
CELL,BFS,,,1,36,,,,,,,,.,,,,
CELL,BFS,,,1,37,,,,,,,,X,,,,
CELL,BFS,,,1,38,,,,,,,,X,,,,
CELL,BFS,,,1,39,,,,,,,,.,,,,
CELL,BFS,,,2,0,,,,,,,,X,,,,
CELL,BFS,,,2,1,,,,,,,,X,,,,
CELL,BFS,,,2,2,,,,,,,,.,,,,
CELL,BFS,,,2,3,,,,,,,,X,,,,
CELL,BFS,,,2,4,,,,,,,,X,,,,
CELL,BFS,,,2,5,,,,,,,,X,,,,
CELL,BFS,,,2,6,,,,,,,,.,,,,
CELL,BFS,,,2,7,,,,,,,,.,,,,
CELL,BFS,,,2,8,,,,,,,,.,,,,
CELL,BFS,,,2,9,,,,,,,,.,,,,
CELL,BFS,,,2,10,,,,,,,,.,,,,
CELL,BFS,,,2,11,,,,,,,,.,,,,
CELL,BFS,,,2,12,,,,,,,,X,,,,
CELL,BFS,,,2,13,,,,,,,,.,,,,
CELL,BFS,,,2,14,,,,,,,,.,,,,
CELL,BFS,,,2,15,,,,,,,,X,,,,
CELL,BFS,,,2,16,,,,,,,,.,,,,
CELL,BFS,,,2,17,,,,,,,,.,,,,
CELL,BFS,,,2,18,,,,,,,,X,,,,
CELL,BFS,,,2,19,,,,,,,,X,,,,
CELL,BFS,,,2,20,,,,,,,,X,,,,
CELL,BFS,,,2,21,,,,,,,,X,,,,
CELL,BFS,,,2,22,,,,,,,,.,,,,
CELL,BFS,,,2,23,,,,,,,,X,,,,
CELL,BFS,,,2,24,,,,,,,,.,,,,
CELL,BFS,,,2,25,,,,,,,,X,,,,
CELL,BFS,,,2,26,,,,,,,,.,,,,
CELL,BFS,,,2,27,,,,,,,,X,,,,
CELL,BFS,,,2,28,,,,,,,,X,,,,
CELL,BFS,,,2,29,,,,,,,,.,,,,
CELL,BFS,,,2,30,,,,,,,,.,,,,
CELL,BFS,,,2,31,,,,,,,,X,,,,
CELL,BFS,,,2,32,,,,,,,,.,,,,
CELL,BFS,,,2,33,,,,,,,,.,,,,
CELL,BFS,,,2,34,,,,,,,,X,,,,
CELL,BFS,,,2,35,,,,,,,,X,,,,
CELL,BFS,,,2,36,,,,,,,,X,,,,
CELL,BFS,,,2,37,,,,,,,,.,,,,
CELL,BFS,,,2,38,,,,,,,,X,,,,
CELL,BFS,,,2,39,,,,,,,,.,,,,
CELL,BFS,,,3,0,,,,,,,,X,,,,
CELL,BFS,,,3,1,,,,,,,,X,,,,
CELL,BFS,,,3,2,,,,,,,,.,,,,
CELL,BFS,,,3,3,,,,,,,,.,,,,
CELL,BFS,,,3,4,,,,,,,,.,,,,
CELL,BFS,,,3,5,,,,,,,,.,,,,
CELL,BFS,,,3,6,,,,,,,,.,,,,
CELL,BFS,,,3,7,,,,,,,,X,,,,
CELL,BFS,,,3,8,,,,,,,,.,,,,
CELL,BFS,,,3,9,,,,,,,,.,,,,
CELL,BFS,,,3,10,,,,,,,,.,,,,
CELL,BFS,,,3,11,,,,,,,,X,,,,
CELL,BFS,,,3,12,,,,,,,,X,,,,
CELL,BFS,,,3,13,,,,,,,,X,,,,
CELL,BFS,,,3,14,,,,,,,,X,,,,
CELL,BFS,,,3,15,,,,,,,,.,,,,
CELL,BFS,,,3,16,,,,,,,,.,,,,
CELL,BFS,,,3,17,,,,,,,,.,,,,
CELL,BFS,,,3,18,,,,,,,,X,,,,
CELL,BFS,,,3,19,,,,,,,,.,,,,
CELL,BFS,,,3,20,,,,,,,,.,,,,
CELL,BFS,,,3,21,,,,,,,,X,,,,
CELL,BFS,,,3,22,,,,,,,,X,,,,
CELL,BFS,,,3,23,,,,,,,,X,,,,
CELL,BFS,,,3,24,,,,,,,,X,,,,
CELL,BFS,,,3,25,,,,,,,,.,,,,
CELL,BFS,,,3,26,,,,,,,,X,,,,
CELL,BFS,,,3,27,,,,,,,,.,,,,
