record_type,algorithm,step,event,row,col,parent_row,parent_col,g,f,frontier_size,maze_rows,maze_cols,cell_value,start_row,start_col,end_row,end_col
META,BFS,,,,,,,,,,20,40,,0,36,15,25
CELL,BFS,,,0,0,,,,,,,,.,,,,
CELL,BFS,,,0,1,,,,,,,,.,,,,
CELL,BFS,,,0,2,,,,,,,,.,,,,
CELL,BFS,,,0,3,,,,,,,,.,,,,
CELL,BFS,,,0,4,,,,,,,,.,,,,
CELL,BFS,,,0,5,,,,,,,,.,,,,
CELL,BFS,,,0,6,,,,,,,,.,,,,
CELL,BFS,,,0,7,,,,,,,,.,,,,
CELL,BFS,,,0,8,,,,,,,,.,,,,
CELL,BFS,,,0,9,,,,,,,,.,,,,
CELL,BFS,,,0,10,,,,,,,,.,,,,
CELL,BFS,,,0,11,,,,,,,,.,,,,
CELL,BFS,,,0,12,,,,,,,,X,,,,
CELL,BFS,,,0,13,,,,,,,,.,,,,
CELL,BFS,,,0,14,,,,,,,,.,,,,
CELL,BFS,,,0,15,,,,,,,,.,,,,
CELL,BFS,,,0,16,,,,,,,,.,,,,
CELL,BFS,,,0,17,,,,,,,,.,,,,
CELL,BFS,,,0,18,,,,,,,,.,,,,
CELL,BFS,,,0,19,,,,,,,,.,,,,
CELL,BFS,,,0,20,,,,,,,,.,,,,
CELL,BFS,,,0,21,,,,,,,,.,,,,
CELL,BFS,,,0,22,,,,,,,,.,,,,
CELL,BFS,,,0,23,,,,,,,,.,,,,
CELL,BFS,,,0,24,,,,,,,,.,,,,
CELL,BFS,,,0,25,,,,,,,,.,,,,
CELL,BFS,,,0,26,,,,,,,,.,,,,
CELL,BFS,,,0,27,,,,,,,,.,,,,
CELL,BFS,,,0,28,,,,,,,,.,,,,
CELL,BFS,,,0,29,,,,,,,,.,,,,
CELL,BFS,,,0,30,,,,,,,,.,,,,
CELL,BFS,,,0,31,,,,,,,,.,,,,
CELL,BFS,,,0,32,,,,,,,,.,,,,
CELL,BFS,,,0,33,,,,,,,,.,,,,
CELL,BFS,,,0,34,,,,,,,,.,,,,
CELL,BFS,,,0,35,,,,,,,,.,,,,
CELL,BFS,,,0,36,,,,,,,,A,,,,
CELL,BFS,,,0,37,,,,,,,,.,,,,
CELL,BFS,,,0,38,,,,,,,,X,,,,
CELL,BFS,,,0,39,,,,,,,,.,,,,
CELL,BFS,,,1,0,,,,,,,,.,,,,
CELL,BFS,,,1,1,,,,,,,,.,,,,
CELL,BFS,,,1,2,,,,,,,,.,,,,
CELL,BFS,,,1,3,,,,,,,,.,,,,
CELL,BFS,,,1,4,,,,,,,,.,,,,
CELL,BFS,,,1,5,,,,,,,,.,,,,
CELL,BFS,,,1,6,,,,,,,,.,,,,
CELL,BFS,,,1,7,,,,,,,,.,,,,
CELL,BFS,,,1,8,,,,,,,,.,,,,
CELL,BFS,,,1,9,,,,,,,,.,,,,
CELL,BFS,,,1,10,,,,,,,,.,,,,
CELL,BFS,,,1,11,,,,,,,,.,,,,
CELL,BFS,,,1,12,,,,,,,,.,,,,
CELL,BFS,,,1,13,,,,,,,,.,,,,
CELL,BFS,,,1,14,,,,,,,,.,,,,
CELL,BFS,,,1,15,,,,,,,,.,,,,
CELL,BFS,,,1,16,,,,,,,,.,,,,
CELL,BFS,,,1,17,,,,,,,,.,,,,
CELL,BFS,,,1,18,,,,,,,,.,,,,
CELL,BFS,,,1,19,,,,,,,,.,,,,
CELL,BFS,,,1,20,,,,,,,,.,,,,
CELL,BFS,,,1,21,,,,,,,,.,,,,
CELL,BFS,,,1,22,,,,,,,,.,,,,
CELL,BFS,,,1,23,,,,,,,,.,,,,
CELL,BFS,,,1,24,,,,,,,,.,,,,
CELL,BFS,,,1,25,,,,,,,,.,,,,
CELL,BFS,,,1,26,,,,,,,,.,,,,
CELL,BFS,,,1,27,,,,,,,,.,,,,
CELL,BFS,,,1,28,,,,,,,,.,,,,
CELL,BFS,,,1,29,,,,,,,,.,,,,
CELL,BFS,,,1,30,,,,,,,,.,,,,
CELL,BFS,,,1,31,,,,,,,,.,,,,
CELL,BFS,,,1,32,,,,,,,,.,,,,
CELL,BFS,,,1,33,,,,,,,,.,,,,
CELL,BFS,,,1,34,,,,,,,,.,,,,
CELL,BFS,,,1,35,,,,,,,,X,,,,
CELL,BFS,,,1,36,,,,,,,,.,,,,
CELL,BFS,,,1,37,,,,,,,,.,,,,
CELL,BFS,,,1,38,,,,,,,,.,,,,
CELL,BFS,,,1,39,,,,,,,,.,,,,
CELL,BFS,,,2,0,,,,,,,,.,,,,
CELL,BFS,,,2,1,,,,,,,,.,,,,
CELL,BFS,,,2,2,,,,,,,,.,,,,
CELL,BFS,,,2,3,,,,,,,,.,,,,
CELL,BFS,,,2,4,,,,,,,,.,,,,
CELL,BFS,,,2,5,,,,,,,,.,,,,
CELL,BFS,,,2,6,,,,,,,,.,,,,
CELL,BFS,,,2,7,,,,,,,,X,,,,
CELL,BFS,,,2,8,,,,,,,,.,,,,
CELL,BFS,,,2,9,,,,,,,,X,,,,
CELL,BFS,,,2,10,,,,,,,,.,,,,
CELL,BFS,,,2,11,,,,,,,,.,,,,
CELL,BFS,,,2,12,,,,,,,,.,,,,
CELL,BFS,,,2,13,,,,,,,,.,,,,
CELL,BFS,,,2,14,,,,,,,,.,,,,
CELL,BFS,,,2,15,,,,,,,,.,,,,
CELL,BFS,,,2,16,,,,,,,,.,,,,
CELL,BFS,,,2,17,,,,,,,,.,,,,
CELL,BFS,,,2,18,,,,,,,,X,,,,
CELL,BFS,,,2,19,,,,,,,,.,,,,
CELL,BFS,,,2,20,,,,,,,,.,,,,
CELL,BFS,,,2,21,,,,,,,,.,,,,
CELL,BFS,,,2,22,,,,,,,,.,,,,
CELL,BFS,,,2,23,,,,,,,,.,,,,
CELL,BFS,,,2,24,,,,,,,,.,,,,
CELL,BFS,,,2,25,,,,,,,,X,,,,
CELL,BFS,,,2,26,,,,,,,,.,,,,
CELL,BFS,,,2,27,,,,,,,,X,,,,
CELL,BFS,,,2,28,,,,,,,,.,,,,
CELL,BFS,,,2,29,,,,,,,,.,,,,
CELL,BFS,,,2,30,,,,,,,,.,,,,
CELL,BFS,,,2,31,,,,,,,,.,,,,
CELL,BFS,,,2,32,,,,,,,,.,,,,
CELL,BFS,,,2,33,,,,,,,,.,,,,
CELL,BFS,,,2,34,,,,,,,,.,,,,
CELL,BFS,,,2,35,,,,,,,,.,,,,
CELL,BFS,,,2,36,,,,,,,,.,,,,
CELL,BFS,,,2,37,,,,,,,,.,,,,
CELL,BFS,,,2,38,,,,,,,,X,,,,
CELL,BFS,,,2,39,,,,,,,,.,,,,
CELL,BFS,,,3,0,,,,,,,,.,,,,
CELL,BFS,,,3,1,,,,,,,,.,,,,
CELL,BFS,,,3,2,,,,,,,,.,,,,
CELL,BFS,,,3,3,,,,,,,,.,,,,
CELL,BFS,,,3,4,,,,,,,,.,,,,
CELL,BFS,,,3,5,,,,,,,,.,,,,
CELL,BFS,,,3,6,,,,,,,,.,,,,
CELL,BFS,,,3,7,,,,,,,,.,,,,
CELL,BFS,,,3,8,,,,,,,,.,,,,
CELL,BFS,,,3,9,,,,,,,,.,,,,
CELL,BFS,,,3,10,,,,,,,,.,,,,
CELL,BFS,,,3,11,,,,,,,,.,,,,
CELL,BFS,,,3,12,,,,,,,,.,,,,
CELL,BFS,,,3,13,,,,,,,,.,,,,
CELL,BFS,,,3,14,,,,,,,,.,,,,
CELL,BFS,,,3,15,,,,,,,,.,,,,
CELL,BFS,,,3,16,,,,,,,,.,,,,
CELL,BFS,,,3,17,,,,,,,,.,,,,
CELL,BFS,,,3,18,,,,,,,,.,,,,
CELL,BFS,,,3,19,,,,,,,,.,,,,
CELL,BFS,,,3,20,,,,,,,,.,,,,
CELL,BFS,,,3,21,,,,,,,,.,,,,
CELL,BFS,,,3,22,,,,,,,,.,,,,
CELL,BFS,,,3,23,,,,,,,,.,,,,
CELL,BFS,,,3,24,,,,,,,,.,,,,
CELL,BFS,,,3,25,,,,,,,,.,,,,
CELL,BFS,,,3,26,,,,,,,,.,,,,
CELL,BFS,,,3,27,,,,,,,,.,,,,
CELL,BFS,,,3,28,,,,,,,,.,,,,
CELL,BFS,,,3,29,,,,,,,,.,,,,
CELL,BFS,,,3,30,,,,,,,,.,,,,
CELL,BFS,,,3,31,,,,,,,,.,,,,
CELL,BFS,,,3,32,,,,,,,,.,,,,
CELL,BFS,,,3,33,,,,,,,,.,,,,
CELL,BFS,,,3,34,,,,,,,,.,,,,
CELL,BFS,,,3,35,,,,,,,,.,,,,
CELL,BFS,,,3,36,,,,,,,,.,,,,
CELL,BFS,,,3,37,,,,,,,,.,,,,
CELL,BFS,,,3,38,,,,,,,,X,,,,
CELL,BFS,,,3,39,,,,,,,,X,,,,
CELL,BFS,,,4,0,,,,,,,,.,,,,
CELL,BFS,,,4,1,,,,,,,,.,,,,
CELL,BFS,,,4,2,,,,,,,,.,,,,
CELL,BFS,,,4,3,,,,,,,,.,,,,
CELL,BFS,,,4,4,,,,,,,,X,,,,
CELL,BFS,,,4,5,,,,,,,,.,,,,
CELL,BFS,,,4,6,,,,,,,,.,,,,
CELL,BFS,,,4,7,,,,,,,,.,,,,
CELL,BFS,,,4,8,,,,,,,,.,,,,
CELL,BFS,,,4,9,,,,,,,,.,,,,
CELL,BFS,,,4,10,,,,,,,,.,,,,
CELL,BFS,,,4,11,,,,,,,,.,,,,
CELL,BFS,,,4,12,,,,,,,,.,,,,
CELL,BFS,,,4,13,,,,,,,,.,,,,
CELL,BFS,,,4,14,,,,,,,,.,,,,
CELL,BFS,,,4,15,,,,,,,,.,,,,
CELL,BFS,,,4,16,,,,,,,,.,,,,
CELL,BFS,,,4,17,,,,,,,,.,,,,
CELL,BFS,,,4,18,,,,,,,,.,,,,
CELL,BFS,,,4,19,,,,,,,,.,,,,
CELL,BFS,,,4,20,,,,,,,,.,,,,
CELL,BFS,,,4,21,,,,,,,,.,,,,
CELL,BFS,,,4,22,,,,,,,,.,,,,
CELL,BFS,,,4,23,,,,,,,,.,,,,
CELL,BFS,,,4,24,,,,,,,,.,,,,
CELL,BFS,,,4,25,,,,,,,,.,,,,
CELL,BFS,,,4,26,,,,,,,,.,,,,
CELL,BFS,,,4,27,,,,,,,,.,,,,
CELL,BFS,,,4,28,,,,,,,,.,,,,
CELL,BFS,,,4,29,,,,,,,,.,,,,
CELL,BFS,,,4,30,,,,,,,,.,,,,
CELL,BFS,,,4,31,,,,,,,,.,,,,
CELL,BFS,,,4,32,,,,,,,,.,,,,
CELL,BFS,,,4,33,,,,,,,,.,,,,
CELL,BFS,,,4,34,,,,,,,,.,,,,
CELL,BFS,,,4,35,,,,,,,,.,,,,
CELL,BFS,,,4,36,,,,,,,,.,,,,
CELL,BFS,,,4,37,,,,,,,,.,,,,
CELL,BFS,,,4,38,,,,,,,,.,,,,
CELL,BFS,,,4,39,,,,,,,,.,,,,
CELL,BFS,,,5,0,,,,,,,,.,,,,
CELL,BFS,,,5,1,,,,,,,,.,,,,
CELL,BFS,,,5,2,,,,,,,,X,,,,
CELL,BFS,,,5,3,,,,,,,,.,,,,
CELL,BFS,,,5,4,,,,,,,,.,,,,
CELL,BFS,,,5,5,,,,,,,,.,,,,
CELL,BFS,,,5,6,,,,,,,,.,,,,
CELL,BFS,,,5,7,,,,,,,,.,,,,
